 1 10:39 15:05 - 18:12 10          
 4 10:48 16:40 - 11:26             
 5 12:40 18:42 - 03:59             
 6 16:00 00:52 - 11:19             
 8 10:51 13:54 - 16:34             
 9 10:41 16:28 -     -             
10 12:51 19:02 - 14:38             
11 10:57 15:50 - 19:24 10          
12 10:46     - -     -             
15 10:47 13:46 - 16:55             
16 10:47 13:32 - 15:54             
18 13:46 21:13 - 11:55             
19 13:03 19:41 - 14:38             
20 11:22 17:14 - 23:26 10          
21 11:36 19:03 - 01:53 10          
23 11:30 16:30 - 21:39             
24 11:14 16:59 - 09:43             
25 10:56 15:33 - 20:57             
27 11:15 13:38 - 15:29             
28 10:59 16:35 -     -             
29 12:39     - -     -             
30 12:30 17:08 - 23:18 10          
31 10:52 15:28 - 20:57             
32 11:38 15:25 1 18:24 8,9       
33 10:53 13:40 - 15:58             
35 11:50 19:02 - 14:38             
36 11:29 15:54 -     -             
38 12:23 16:12 - 18:20  8,9,10     
40 11:19 16:32 - 20:52             
41 10:45 17:21 - 13:18  - su       
44 10:54 20:11 1,4 14:27  7      
45 11:37 16:43 - 20:52             
46 11:20 16:09 - 20:24             
50 14:05     - - 17:10  7,8,9,10 kv
